ea4cf8c3103c9b1c8ed0e44f4ef73c1d4c1dcae98c5b4850c2677d7ccdc68288,www.jewell.idm.oclc.org,true,,830703,781742,714232,741200,742628,720675,711416,753630,740149,752544
bdfddc711b78bc116421d7e13226ef1604e1b91a911e7664f217dae96a5d61cb,www.mmc.idm.oclc.org,true,,758651,707237,796212,784615,723667,760406,755831,782325,713407,734403
1ba5859e463aff1c76a7a972e2764b0e87d065e1151338005871cf33cd5dd7e5,www.scheldekwartier.nl,true,,798553,785563,818055,801947,808826,820570,766565,794518,774798,789752
978c467e7e98667c7720505e99dbb791028719e22ba49ccf590803e1b790fee0,www.fosl4-2.fna.fbcdn.net,false,UNSAT:repeated_certificates_in_chain,1177420,1236565,1194737,1222369,1213824,1286247,1225934,1195880,1159667,1210705
76f2020c735388e6c340d9b918b2bd04bf437b13121cf6225242c435205be658,www.fscl11-2.fna.fbcdn.net,false,UNSAT:repeated_certificates_in_chain,1244458,1180354,1242716,1171877,1197900,1214408,1212708,1221963,1160684,1191069
95af92a41d4ccb8b47c03f93c7e0ef24c9cc33eb97713e84b89a0571bb6280b6,www.fbom19-2.fna.fbcdn.net,false,UNSAT:repeated_certificates_in_chain,1210075,1257749,1147149,1183748,1196465,1183902,1197379,1215477,1207059,1199836
05918c3172294c98c5d0947ca6af3a0c68c521e5ff430c62142778166cc57a31,www.ftgd1-1.fna.fbcdn.net,false,UNSAT:repeated_certificates_in_chain,1216853,1246093,1198198,1145385,1178512,1167344,1187892,1248018,1242244,1154069
6811692b4971d4a12902c291317c24b71fb19d640db20048d2c97144d2dfb5ea,www.fada1-1.fna.fbcdn.net,false,UNSAT:repeated_certificates_in_chain,1179794,1254349,1151956,1180347,1199168,1210770,1224257,1256520,1197308,1201143
f81371ea9ea34c849ff3a71f8713b8558314c4dac9a460167ec8c7031a2a4354,banner.nicholls.edu,true,,788317,795332,762015,768099,750254,788077,787683,791261,751219,791478
2f231892dbbf6c7386aa96c83cb6d59a37e8913152ab056d6290e2419a63a808,kb-rechtskompetenz.de,true,,712030,676592,654566,679617,675631,633973,640273,681922,697221,695508
94ecd3642ff2ba3c5fd6c9893e670398d33d21ead79418cca8bf2d392874d301,leboutique.com,true,,766208,757098,790152,801941,782442,757402,781434,780560,804758,797289
1a9960f1683c20b1d23d34ded206921dded0ae50dcfe0ae71656b9a1d520afd6,hvparent.com,true,,662638,640061,686510,684914,684177,676210,722139,659088,636941,659855
139bebb3bede560b5979163b6189ccf9cf5afc4df059bbbf7b945c806f686b88,www.corahealth.com,true,,810234,803270,840127,853016,805685,809375,801260,844139,824339,859901
f2878d6826302d4d55a666456be1bd7a95ddc119e00ba4abbfb1db077a2e2ae1,www.brookdale.com,false,UNSAT:repeated_certificates_in_chain,1364108,1348418,1353400,1384764,1332369,1371122,1395520,1374102,1337899,1428098
287fc9c02a47bdbe8b11c3d4f6987027758ca9b50d9feb301a515aea74d8ae1f,bledina.com,true,,791247,861391,855452,856800,816243,848906,830316,816755,790588,808862
9e39db212e8d5dd6bd958a656c744acd54f16792f546ee1831a4cdfc68c66a1d,www.priorpremium.by,true,,803282,790920,782562,802006,841274,768452,799301,815226,812219,818053
c19ad8a649ec89f3bced75844cb5ad34bac85752a008d1262225f30d0c70797f,ieasyviewer.biz,true,,807275,811933,810945,811309,814607,806765,834428,789567,829312,834248
2e9f1e959f68850cc92136b43d269d2129914d13adedb7e104ce49b7d64af195,ike.ciostage.accenture.com,true,,888348,830340,861938,862734,881545,863284,900629,847788,851886,874814
3b39953d4ec8d1769222f9c35e54ef6d60e80f3386fd1bb1f63b3586a4037731,connx.nhp.com.au,true,,774303,750427,762381,768701,777402,775485,752831,769573,788660,783984
17d1a27ae89c0f82fc0ba77822c001aa53c3f5eb912c9ef673bfc4c8a1c1796d,rad.uat1.macquarie.com.au,true,,734134,739244,759673,783743,774866,733026,764881,781676,763073,739909
fa87298c6a6d4622c4d3432729414f22795f744ff0c635871b1aae3f6057d905,secure02.stage.lithium.com,true,,763214,783736,766796,760248,771602,748967,764982,761852,729675,765034
362bae0a3d4d5ed4785ac45d641abbd8f74c04f7aad1359ee4c8df16379e298b,www.proplan.no,true,,702066,653010,678284,681619,696421,697927,696985,656483,652253,639432
782aaf99b4d7e44736776aec61b0d1358cdf5b3ad2321d33966d79d7c1a9f279,mail.congress-union-celle.de,true,,687295,681221,681282,682994,697577,728619,703821,714617,698962,736016
dcc809125316b7f6fdf4a7d764743cd7b0134ebc0b212c1cb8ddb2e82976aa5a,sip.barloworld-equipment.com,false,UNSAT:repeated_certificates_in_chain,1251827,1244127,1218867,1162413,1199767,1130846,1162773,1135612,1224764,1264208
a709a6e1397aa701f695ddb78d59f2af5384719f30523aba17cd5b6ec12d5e2d,mediasite.phsa.ca,true,,776573,790817,746098,787202,740393,734085,713880,753492,740949,755151
596b8aff74abbc7c622850b567d6602363ceb2c61a481d181614a1a3890db19c,uat-neo.network.ae,false,UNSAT:repeated_certificates_in_chain,1375632,1265283,1345407,1275042,1283200,1324690,1269437,1314020,1290485,1241783
d21b30dc0cd31094ca9370981cccc1bd7a8f77251704b1f773ce30fa2081b68a,testb9eisap1.nnmc.edu,true,,816510,850408,863321,886322,848862,849766,854408,846899,866810,881912
fea521ebf1fe08d57c1cf21f484a9ed7d88acd3438f68db6bac2a1255a4ee0b3,mail.rpc-celle.de,true,,704631,658068,680607,664207,668282,699766,685262,704499,715649,724400
af5fb2bf2f2742cee361d294798c77346dbc5d269a726a4b35dcf2078d4b1611,deviceservices-external-maint.apple.com,false,UNSAT:repeated_certificates_in_chain,1266637,1303515,1306170,1360296,1271338,1289528,1363785,1352384,1296418,1328752
87b15790bf68976707d49918e5f612598f7a4268773edab1d793263284f0f0d8,helios.glenport.pl,true,,706043,727606,662838,708217,722618,647290,680270,672027,717248,703203
