pathlen::ee-with-intermediate-pathlen-2,true,true,
pathlen::validation-ignores-pathlen-in-leaf,true,false,SEC_ERROR_INADEQUATE_KEY_USAGE
pathlen::ee-with-intermediate-pathlen-0,true,true,
cve::cve-2024-0567,true,true,
rfc5280::eku::ee-eku-empty,false,false,SEC_ERROR_INADEQUATE_CERT_TYPE
pathological::multiple-chains-expired-intermediate,true,true,
pathlen::max-chain-depth-0,true,true,
pathlen::intermediate-violates-pathlen-0,false,false,SEC_ERROR_PATH_LEN_CONSTRAINT_INVALID
rfc5280::nc::excluded-dns-match-second,false,false,SEC_ERROR_CERT_NOT_IN_NAME_SPACE
pathological::intermediate-cycle-distinct-cas,false,false,SEC_ERROR_UNKNOWN_ISSUER
invalid::invalid-issuer-key,false,false,SEC_ERROR_BAD_DER
pathlen::max-chain-depth-1-exhausted,false,true,
rfc5280::nc::permitted-dns-match,true,true,
rfc5280::nc::excluded-dns-match,false,false,SEC_ERROR_CERT_NOT_IN_NAME_SPACE
pathlen::intermediate-pathlen-too-long,false,false,SEC_ERROR_PATH_LEN_CONSTRAINT_INVALID
rfc5280::aki::leaf-missing-aki,false,true,
rfc5280::aki::critical-aki,false,false,SEC_ERROR_UNKNOWN_CRITICAL_EXTENSION
pathlen::ee-with-intermediate-pathlen-1,true,true,
rfc5280::nc::permitted-dns-match-noncritical,false,true,
pathological::intermediate-cycle-distinct-cas-max-depth,false,false,SEC_ERROR_UNKNOWN_ISSUER
pathlen::intermediate-pathlen-may-increase,true,true,
pathlen::max-chain-depth-0-exhausted,false,true,
pathlen::max-chain-depth-1,true,true,
rfc5280::nc::permitted-dns-mismatch,false,false,SEC_ERROR_CERT_NOT_IN_NAME_SPACE
rfc5280::aki::cross-signed-root-missing-aki,false,true,
rfc5280::nc::permitted-dns-match-more,true,true,
rfc5280::eku::ee-wrong-eku,false,false,SEC_ERROR_INADEQUATE_CERT_TYPE
pathlen::max-chain-depth-1-self-issued,true,true,
rfc5280::aki::intermediate-missing-aki,false,true,
pathological::intermediate-cycle-same-logical-ca,false,false,SEC_ERROR_UNKNOWN_ISSUER
pathological::nc-dos-1,false,false,SEC_ERROR_BAD_DER
pathlen::self-issued-certs-pathlen,true,false,SEC_ERROR_UNKNOWN_ISSUER
rfc5280::aki::self-signed-root-missing-aki,true,true,
rfc5280::nc::permitted-dn-mismatch,false,false,SEC_ERROR_CERT_NOT_IN_NAME_SPACE
